1861	2189
2570	3135
2189	1969
1976	3141
2734	2682
1801	1887
1784	1893
2079	2214
2407	2325
1772	2774
2795	1794
1756	2242
2324	3078
2420	1859
2741	2235
3196	2248
1757	2973
1770	2625
2023	2626
2638	2916
2871	2489
1878	1968
2081	1760
1859	3144
1753	1886
1780	3322
1949	2271
2108	2256
2248	1755
1845	1802
2681	1773
1819	2296
2580	2229
3082	1978
3130	1795
1752	3124
1863	1872
2395	1763
1859	1970
3127	2122
2195	1764
2040	1901
1991	1760
1968	2037
2703	3079
3090	3092
2865	3064
2209	2023
1767	2871
3119	2026
1900	2119
1975	3346
1950	1971
1791	2228
3352	2681
2953	2167
1805	2430
2682	2043
1756	1920
3282	2360
2665	1751
1951	1760
2684	2464
2968	1831
2323	1749
1968	1989
2113	3194
2670	2858
2296	1763
2359	2296
1755	2326
1791	2630
2371	3391
2254	3120
1819	1812
1777	1808
1863	2033
2132	1763
2844	2941
1825	2850
1770	2761
3251	2460
1783	3431
2023	1968
1753	2877
1754	2140
1915	3378
2025	2570
2646	1890
2079	1865
2742	1758
1784	1784
3474	1884
3062	1767
2297	2295
2556	1859
1915	2497
2639	2204
2850	1872
2216	1754
3331	3119
1778	1972
1831	1983
2433	2229
1812	3091
2741	3310
1807	1845
2245	2416
1860	3400
1764	3342
2216	2627
2023	2401
1763	2195
1872	1756
1937	1751
2631	2953
2630	1794
1768	3315
2330	2635
1969	2132
2328	2899
1804	1913
1831	2749
2509	3481
1750	1756
2009	2194
3106	1939
2984	2707
2642	2298
1874	1753
2767	3260
1808	1787
2019	1907
2642	3117
2668	1971
2720	1992
3150	2132
2453	1874
3076	2956
3350	2235
1784	1975
2636	3075
2746	2276
1828	1760
2136	1750
3450	1861
3076	3064
2747	2653
2764	3406
2657	1977
1756	3079
1861	2194
1753	1831
1778	3072
1805	3064
1791	2303
1984	2327
2187	2407
1983	1751
1842	1925
2700	2045
1972	2718
1798	1767
2331	2287
2242	1761
3007	1756
2251	2413
1861	2638
1866	2844
2518	1913
2894	1916
2734	2090
1797	1919
1768	2215
2781	2642
2694	3065
2283	1854
2218	2539
3441	2657
2741	2735
2193	1763
1861	2195
2638	2931
2630	1808
3181	2078
2381	2252
2491	2297
1982	2306
1806	2065
1879	2428
1785	2096
1957	2625
2201	1777
1979	2739
2003	1941
1934	2681
2434	2844
1806	1778
2679	2027
1779	2525
2193	2218
2691	1754
1816	1778
1752	2672
2310	3405
2422	3200
3309	2078
1832	3298
3356	2667
1755	2372
2327	3239
3193	2640
2765	1859
1825	2353
2374	2051
2024	1765
1999	1969
1804	1985
1886	3241
1917	2629
1754	2407
1985	2461
1835	2772
2625	1821
1809	3118
2877	2832
2634	1876
2826	2700
2665	1758
1770	1790
2413	2189
2222	2305
2488	2037
2906	1756
1975	1948
2419	2846
2671	2751
2423	2419
1751	2242
2160	1749
2037	2289
1790	2529
2490	2409
2037	2888
3139	1982
1781	2638
1806	1913
2084	1756
3105	3008
1839	3070
2189	2549
2467	2189
1766	3064
2030	1859
2720	1780
2745	3188
3080	3404
2686	2792
2701	1872
2195	2638
2976	2204
3077	1761
1808	1866
1798	2844
2465	2187
1903	1863
2366	1821
2026	2576
2679	1791
1949	1842
1749	3229
1999	2050
1750	3334
1870	1999
3089	1787
1839	2190
2239	2812
3076	2633
2085	2737
3097	2627
2409	1749
2219	2262
1751	1852
1763	2536
3028	3171
1811	3069
2786	2202
1993	1886
2912	1838
2007	2550
1830	2112
1970	2768
2246	2379
3203	3103
1976	1927
2079	2877
2308	1756
